Left-Hippocampus,Left-caudalanteriorcingulate,Left-caudalmiddlefrontal,Left-cuneus,Left-entorhinal,Left-fusiform,Left-inferiorparietal,Left-inferiortemporal,Left-insula,Left-isthmuscingulate,Left-lateraloccipital,Left-lateralorbitofrontal,Left-lingual,Left-medialorbitofrontal,Left-middletemporal,Left-paracentral,Left-parahippocampal,Left-parsopercularis,Left-parsorbitalis,Left-parstriangularis,Left-pericalcarine,Left-postcentral,Left-posteriorcingulate,Left-precentral,Left-precuneus,Left-rostralanteriorcingulate,Left-rostralmiddlefrontal,Left-superiorfrontal,Left-superiorparietal,Left-superiortemporal,Left-supramarginal,Left-transversetemporal,Right-Hippocampus,Right-caudalanteriorcingulate,Right-caudalmiddlefrontal,Right-cuneus,Right-entorhinal,Right-fusiform,Right-inferiorparietal,Right-inferiortemporal,Right-insula,Right-isthmuscingulate,Right-lateraloccipital,Right-lateralorbitofrontal,Right-lingual,Right-medialorbitofrontal,Right-middletemporal,Right-paracentral,Right-parahippocampal,Right-parsopercularis,Right-parsorbitalis,Right-parstriangularis,Right-pericalcarine,Right-postcentral,Right-posteriorcingulate,Right-precentral,Right-precuneus,Right-rostralanteriorcingulate,Right-rostralmiddlefrontal,Right-superiorfrontal,Right-superiorparietal,Right-superiortemporal,Right-supramarginal,Right-transversetemporal
0.303475145238868,0.0025358035213702,0.0750497824164111,0.0145332161701683,0.752091505846287,0.00497545730433863,0.556146773206924,0.378752800886693,0.00213414875273831,0.358288983571008,0.0496364367870651,0.00441508178543139,0.105750548896492,0.00308024564516898,0.402089640444783,0.0024647155167309,0.416224020342334,0.00166282855132638,0.0043824737711249,0.00181219264067987,0.0026011316298211,0.00190855738716101,0.0589260732899467,0.116185760982738,0.244233351714612,0.00455817850212206,0.00337032739960359,0.00287833196153891,0.0415977218528228,0.00425639009802702,0.0142470135317513,0.00207389091845994,0.467096004936944,0.00307971036454219,0.00545044709155738,0.158700346291457,0.649477746217714,0.351465047571289,0.633675942374086,0.461600739626366,0.00293267231894932,0.434391074267988,0.00961054545454044,0.00421152307290718,0.236839366331804,0.00331183778445678,0.037966378057771,0.00261509626465666,0.768589485082859,0.0028075606448811,0.00205250343844268,0.0021916183425457,0.0365999476813714,0.0027362999710028,0.132838478911862,0.125785141125777,0.407715579289213,0.00391439444768274,0.00335308196464652,0.00297018539912425,0.356088206518968,0.0648157228228262,0.0328846918949092,0.00141981868950645
0.307938169421894,0.00258064367200243,0.0758970292838938,0.0147902043779491,0.760493575460974,0.00506343740733582,0.55744888005966,0.378820057626867,0.00217188651543873,0.359890825731503,0.0500903173834768,0.00449315287045197,0.107022994338041,0.00313471306646155,0.404144343434035,0.00250829863115772,0.418283808790247,0.00169223204496802,0.0044599682545827,0.00184423731223975,0.0026471269654662,0.00194230605893678,0.0592564864498178,0.116255342617091,0.244289415842253,0.00463877994025451,0.00342992428359108,0.00292922898003316,0.0425558242248903,0.00433165506691623,0.0144989408705374,0.00211056315287987,0.619764086058026,0.00313416832056518,0.00554682635222912,0.160677249111313,0.651248741435406,0.354781202804269,0.6364290480243,0.463608097536353,0.00298453022806115,0.436177191972777,0.00978048697493342,0.00428599466638389,0.239211157913798,0.0033704004072598,0.0386377305883294,0.00266133853438962,0.769970528157244,0.00285720622710569,0.00208879748195881,0.00223037232950878,0.0367306214527897,0.00278468546374336,0.132918033609274,0.1273391726119,0.409415211259422,0.00398361196993511,0.00341237390075668,0.00302270664518294,0.356159732819884,0.0653683151509073,0.0334661858969625,0.00144492508413498
0.31240119360492,0.00262548382263467,0.0767442761513765,0.0150471925857299,0.768895645075661,0.00515141751033301,0.558750986912397,0.37888731436704,0.00220962427813916,0.361492667891998,0.0505441979798886,0.00457122395547255,0.108295439779591,0.00318918048775412,0.406199046423286,0.00255188174558455,0.42034359723816,0.00172163553860966,0.0045374627380405,0.00187628198379964,0.0026931223011113,0.00197605473071255,0.0595868996096889,0.116324924251444,0.244345479969893,0.00471938137838695,0.00348952116757857,0.00298012599852742,0.0435139265969578,0.00440692003580544,0.0147508682093235,0.0021472353872998,0.772432167179108,0.00318862627658817,0.00564320561290086,0.162654151931169,0.653019736653098,0.35809735803725,0.639182153674513,0.46561545544634,0.00303638813717298,0.437963309677565,0.0099504284953264,0.00436046625986059,0.241582949495792,0.00342896303006282,0.0393090831188878,0.00270758080412259,0.77135157123163,0.00290685180933029,0.00212509152547493,0.00226912631647186,0.036861295224208,0.00283307095648392,0.132997588306686,0.128893204098024,0.411114843229632,0.00405282949218748,0.00347166583686683,0.00307522789124164,0.356231259120799,0.0659209074789883,0.0340476798990158,0.00147003147876351
0.319447955957282,0.00269604919204902,0.0780764936113402,0.015451617360435,0.779776709520694,0.00528987263105793,0.560800124789607,0.378993156935564,0.00226901255244867,0.363807057432173,0.0512584741699595,0.00469408516082934,0.110297899213301,0.00327489638411854,0.409432551963054,0.00262046890522593,0.423535947310527,0.00176790809482635,0.00465941654006102,0.00192671098670222,0.00276550559611299,0.00202916533488142,0.0601068739263876,0.116434425527942,0.244433708618149,0.004846224624383,0.0035833093479309,0.00306022311821805,0.0450217013673019,0.00452536522964939,0.0151473286465959,0.00220494682967019,0.924396187146096,0.00327432727736827,0.00579487856754732,0.165661965845826,0.655646569009868,0.363228990911344,0.643266843008278,0.468722618550759,0.0031179974195223,0.44070785607121,0.0102178670742848,0.00447766291130943,0.245112447612314,0.00352112358380096,0.0403655969498662,0.00278035270163532,0.773495161156139,0.00298497953191984,0.00218220780524083,0.00233011383252099,0.0370669377749775,0.00290921566432704,0.133122784286903,0.131338798154994,0.413747305532501,0.00416175776202636,0.00356497411785857,0.00315788107322202,0.35634382073747,0.0667897728252485,0.0349627825132701,0.00150954164959578
0.330767215630389,0.00280915406087033,0.0802106636768765,0.0160998448333547,0.79475706657072,0.0055117937858283,0.564084561230911,0.379162805446271,0.00236420234640921,0.36729972300926,0.0524033433239178,0.00489101179255306,0.113507517662826,0.00341228509609809,0.414615338122096,0.00273040302387999,0.428601113507799,0.00184207551496956,0.00485488875106579,0.00200754051831841,0.00288152430548796,0.0021142930394112,0.0609403086177776,0.116609938355506,0.244575124864816,0.00504953382290799,0.00373363662494763,0.00318860584037711,0.0474384203475495,0.00471521370948332,0.0157827905753393,0.00229744893336447,1.07519596399038,0.00341169211413644,0.00603798577128485,0.170374505472533,0.659688622896087,0.371362717205581,0.649553453491731,0.473648431393885,0.0032488038937366,0.445037270488195,0.0106465278414841,0.00466551017971361,0.250556341748402,0.00366884203872527,0.0420590176639144,0.00289699427795479,0.776899706781487,0.00311020562919869,0.00227375595958478,0.00242786695221303,0.0373965495083518,0.00303126330984368,0.133323453184933,0.135258689700939,0.417922306140642,0.00433635215263625,0.00371453219385396,0.00329036074962905,0.356524238795132,0.068181630647616,0.0364295439289942,0.00157287006020541
0.349833872277073,0.0029996728546045,0.0837910392586526,0.0171917475736436,0.817324436362074,0.00588560749651606,0.56961700979316,0.379448568826359,0.00252454420357379,0.373182921845861,0.054331811058938,0.00522272363414857,0.118805960425571,0.00364370865860085,0.423207020237309,0.00291558086719008,0.436725296801314,0.00196700636513821,0.00518415070271542,0.00214369332077595,0.0030769512998434,0.00225768587253491,0.0623441825068024,0.116905579847697,0.244813332583107,0.00539199673950655,0.00398685447295927,0.00340485931926754,0.0515092476223565,0.0050350028020941,0.0168531904740337,0.00245326352735468,1.21848426906445,0.0036430754601877,0.006447486190558,0.178270375129567,0.666497235457476,0.384680582865764,0.660142895471247,0.48194568624076,0.00346914004672132,0.452329925710691,0.0113685828081627,0.00498192834416207,0.2596209173978,0.00391766547256806,0.0449114896669951,0.00309347045666596,0.782634472512739,0.00332114195091704,0.0024279636795173,0.00259252658748394,0.0379517619452478,0.00323684570823415,0.133661468663764,0.141861526667065,0.424667387304614,0.00463044658940447,0.00396645436598308,0.00351351531765419,0.356828142871691,0.0705252969614193,0.0389002210849091,0.00167954320809182
0.401716682336225,0.00351409166577691,0.0934264925097514,0.0201399885243975,0.864932884592197,0.00689493996646782,0.583183733363291,0.380220157053325,0.00295748242414046,0.388857195202521,0.059538856832163,0.00611837706476743,0.132581910411081,0.00426857422470379,0.444369544306389,0.0034155786057017,0.457495537938296,0.00230433150856835,0.00607318919814199,0.00251131879963411,0.00360462271816863,0.00264486012080916,0.0661347751453208,0.117703839914147,0.24545651601322,0.00631667909222537,0.00467056667682476,0.00398876422094318,0.0625008673263753,0.00589846367974521,0.0197433717132334,0.00287397770800183,1.32484460262422,0.00426783243805762,0.00755317615808437,0.199497355333757,0.684444652171066,0.418621842593605,0.68781921474093,0.503606304835415,0.0040640685556371,0.471118349730676,0.0133181996951886,0.00583628739608871,0.28275281637487,0.00458951234142782,0.052613434593094,0.00362397477225236,0.797914643597434,0.00389069002396877,0.00284433914781874,0.00303712321841961,0.0394508881791392,0.00379193768055454,0.13457414251273,0.159688590456846,0.442018973047047,0.0054245294594956,0.00464666812208872,0.00411605381446705,0.357648712699529,0.0768515721362527,0.0512437811065944,0.00196757082386767
0.451415932845017,0.00399996179136209,0.102527207296039,0.0229246110340866,0.900111678697478,0.00784825754211204,0.595180669748418,0.380948924471223,0.00336639388505291,0.402221296744294,0.0644569273397297,0.00696432444337082,0.145493679557525,0.00485876164491952,0.463452247389809,0.0038878279844701,0.475672748032982,0.00262293612846533,0.00691288875041631,0.00285854217813778,0.00410300997135845,0.00301054737124936,0.0697150013760096,0.11845779896524,0.246064004711488,0.00719004437569537,0.00531633492468323,0.00454026416951691,0.0728824854359554,0.00671400509454317,0.0224731566494675,0.00327134352617754,1.39084499119758,0.0048579172963583,0.00859750368210303,0.218686816930281,0.699684846128603,0.448564265164877,0.711564264980404,0.521910500527567,0.00462598033464518,0.487303357782233,0.0151596187513529,0.00664323210891592,0.303002308124021,0.00522407374442732,0.118840066717939,0.00412503770548762,0.810610639735113,0.00442862990441318,0.00323760703903979,0.00345704608324476,0.0408668174486555,0.00431622373006341,0.135436165728026,0.176524832026024,0.457371713327709,0.00617454313597235,0.00528913207543945,0.0046851532500984,0.358423743387839,0.0828267582043465,0.065188604845257,0.00223961377954822
0.477385304502154,0.00425026478999581,0.107210554911702,0.0256205449111127,0.916168712501635,0.0083393728325337,0.60129960866536,0.381324359511167,0.00357705051828141,0.408980595054204,0.0669905422518493,0.00740012642912935,0.151904145677438,0.00516280520153453,0.472580701180842,0.00413111405904872,0.4847083204427,0.0027870698908421,0.00734547207838387,0.00303741930652785,0.00435976134870232,0.00319893642940983,0.0715594065249147,0.118846211838141,0.246376961270875,0.00763997109035362,0.00564901174581262,0.00482437731746583,0.0782344791447884,0.00713414300976909,0.0238794447070871,0.00347605225512877,1.41906630587878,0.00516190801672441,0.00913550405926714,0.228321783556943,0.707455091996354,0.46338079586375,0.7236908740859,0.531308976377435,0.00491545728712077,0.495614297685569,0.0161082523207539,0.00705894130920686,0.312797399603058,0.0055509771978897,0.2610170841711,0.00438316749797475,0.816981686552389,0.00470575738780749,0.00344020466185191,0.00367337539991967,0.0415962538213618,0.00458631724564196,0.135880249412777,0.185198264551663,0.46500108290503,0.00656092349227091,0.00562010664162436,0.00497833302748792,0.358823011618384,0.085904961434967,0.0723724817979757,0.00237976062945386
0.504993707504201,0.00451375010094836,0.112109581876629,0.0293996480782871,0.931879015747734,0.00885635291553967,0.607261990376595,0.381719566994824,0.00379880147137985,0.41603525222599,0.0696575910550909,0.00785888010910166,0.158461531875723,0.00548286133947578,0.481976126171386,0.00438721289670019,0.493792953972967,0.00295984782659884,0.0078008375886038,0.00322571707384756,0.00463003464493214,0.00339724707626751,0.0735009480439314,0.119255080637768,0.246706399818616,0.00811359338399248,0.00599920913114341,0.00512345340341627,0.0838756402766574,0.00757640766436977,0.0253597955146017,0.00369154205507858,1.44658584980979,0.00548190853577359,0.00970183845175723,0.238464179738774,0.715443486837,0.478502972732678,0.735662470981989,0.540984079390661,0.0052201796646111,0.503769291453383,0.0171068460746363,0.00749654400874455,0.323017946825195,0.00589509715872582,0.403100024804534,0.004654891804159,0.823688267220245,0.00499747990625202,0.00365347217337308,0.00390109779071552,0.0423641062663253,0.00487063534940796,0.136347720950891,0.19432801651779,0.472757860911505,0.00696765273195637,0.00596851212204063,0.00528695324071804,0.359243307477615,0.0891452795287268,0.0799348231085408,0.00252728837194185
