Left-Accumbens-area,Left-Amygdala,Left-Caudate,Left-Hippocampus,Left-Pallidum,Left-Putamen,Left-Thalamus-Proper,Left-bankssts,Left-caudalanteriorcingulate,Left-caudalmiddlefrontal,Left-cuneus,Left-entorhinal,Left-frontalpole,Left-fusiform,Left-inferiorparietal,Left-inferiortemporal,Left-insula,Left-isthmuscingulate,Left-lateraloccipital,Left-lateralorbitofrontal,Left-lingual,Left-medialorbitofrontal,Left-middletemporal,Left-paracentral,Left-parahippocampal,Left-parsopercularis,Left-parsorbitalis,Left-parstriangularis,Left-pericalcarine,Left-postcentral,Left-posteriorcingulate,Left-precentral,Left-precuneus,Left-rostralanteriorcingulate,Left-rostralmiddlefrontal,Left-superiorfrontal,Left-superiorparietal,Left-superiortemporal,Left-supramarginal,Left-temporalpole,Left-transversetemporal,Right-Accumbens-area,Right-Amygdala,Right-Caudate,Right-Hippocampus,Right-Pallidum,Right-Putamen,Right-Thalamus-Proper,Right-bankssts,Right-caudalanteriorcingulate,Right-caudalmiddlefrontal,Right-cuneus,Right-entorhinal,Right-frontalpole,Right-fusiform,Right-inferiorparietal,Right-inferiortemporal,Right-insula,Right-isthmuscingulate,Right-lateraloccipital,Right-lateralorbitofrontal,Right-lingual,Right-medialorbitofrontal,Right-middletemporal,Right-paracentral,Right-parahippocampal,Right-parsopercularis,Right-parsorbitalis,Right-parstriangularis,Right-pericalcarine,Right-postcentral,Right-posteriorcingulate,Right-precentral,Right-precuneus,Right-rostralanteriorcingulate,Right-rostralmiddlefrontal,Right-superiorfrontal,Right-superiorparietal,Right-superiortemporal,Right-supramarginal,Right-temporalpole,Right-transversetemporal
1.24949806202161,2.83880964694497,0.737697038332745,3.63290005851669,0.718772595870892,0.604845926086117,0.621473694670512,1.84457101668025,0.659356581219184,1.13199574977164,0.816223683437339,2.41415279367097,0.870747418655964,2.80014775887509,3.48379695295389,2.83674887251646,1.39895549588428,1.07278223530674,1.48583336581518,1.68913851867384,2.11241240113897,1.21265828846731,3.50513034874395,1.02066091824407,1.03321969655714,1.1010523835957,1.36247020190262,1.13010673498971,0.746453406341245,1.13112199510709,1.20626117485835,1.39240967604543,2.67497777345727,1.24653444350975,1.46293535479527,2.71827287896777,2.58512423686269,2.61291844129695,1.92391331079193,1.53091393784817,0.85443906125231,1.27043951254282,2.68679954831181,0.678333409821826,3.4394273775045,0.515311549158185,0.821090715393999,0.69654109241978,1.86024803451468,0.479783740605121,1.82073614779239,0.98897557537192,1.38602771741589,0.762375196505169,2.36429470248494,2.58998002665631,2.68098422048004,1.44517170198076,1.6102338530526,1.10591098804095,1.20640178135818,1.50580374975786,0.974030676185839,3.42129578425409,1.03014571670152,1.39338269617125,1.06414054150735,1.16195943228059,1.75266188165344,0.82262388051691,1.22204404400439,1.21361257589922,1.4322525337759,3.44326863105433,0.900177602558536,1.20591914602987,1.68183072031166,2.39612211316001,2.11544792089567,2.10229184054446,1.43900186813268,0.733627261770504
1.26522442360847,2.86324168486419,0.739282422890444,3.63615076177456,0.719520443085427,0.606204129261387,0.621964612058404,1.84651182167752,0.669263034489453,1.1324325028842,0.82652873276706,2.41840923706132,0.871049385544268,2.80559817958669,3.55977777910436,2.83898771945837,1.39940739698515,1.07324971247374,1.5017412162465,1.71316766426987,2.11592753236247,1.2132340232619,3.51149127555137,1.02100181264946,1.03373319583586,1.10147842055366,1.36327254383037,1.13069095554793,0.755000759451213,1.13160733328715,1.20684125242417,1.39305866077026,2.6783122176467,1.26006267736461,1.46350045675391,2.72286265264515,2.62944705770597,2.65915726889924,1.92570905784895,1.54508854210319,0.866658549380968,1.27098399429637,2.71490476763387,0.689336300456467,3.44155349924452,0.515643995964993,0.834451048116705,0.697386669321592,1.88471213911481,0.489425409450912,1.85764266139695,0.998611570479425,1.38695414482828,0.762787806079964,2.38716501766381,2.59249637289087,2.75064831734462,1.44577443656467,1.63788552041073,1.10627715335458,1.20692087783646,1.5217593779251,0.974356661977328,3.61313860377569,1.04178254581147,1.39432828992629,1.07631670064256,1.16244236541794,1.76973374980984,0.831256439443096,1.22304671429617,1.21414266944618,1.43594990085733,3.54740092167495,0.901367786731349,1.20637791290945,1.68252683733462,2.39906829521915,2.15464413561036,2.12364091819154,1.44674498216493,0.734069953863903
1.28346134439224,2.88861693765748,0.740931519463018,3.63953210138392,0.720298344114114,0.607616914689579,0.622475257994659,1.848530622008,0.679865970564748,1.13288680783974,0.838723035205799,2.42283673458695,0.871363487607466,2.81126763692493,3.63564984231361,2.84131653917628,1.39987745868277,1.0737359761945,1.52180048088253,1.74128032318217,2.11958392653175,1.21383289517084,3.51810782958904,1.02135640661395,1.03426733116375,1.10192157870337,1.364107129557,1.13129865423877,0.763891605933715,1.13211217580336,1.20744464162775,1.39373372631204,2.68178066349318,1.27625106421872,1.464088268524,2.72763687603688,2.6749053203512,2.71083219874666,1.92757697078059,1.55983482222624,0.879534592832064,1.27155035719504,2.74387235687487,0.701337755912756,3.44376506366106,0.515989802846363,0.851214433490649,0.698266227510712,1.91048139791631,0.499454549050056,1.90000850408255,1.0101484641774,1.3879178026759,0.763216997238854,2.41411260629082,2.59511384379449,2.81923316089477,1.44640139330629,1.66981581155715,1.10665803379193,1.20746083529915,1.53871013223842,0.974695748193882,3.80063234646368,1.0551688707686,1.39531188435637,1.0912072025391,1.16294470623973,1.78884292300913,0.841891716396619,1.22408967900373,1.2146940659179,1.43979585441599,3.64393026871716,0.902605800959875,1.20685511630155,1.68325092928512,2.40213287580454,2.19959734802684,2.14593276817158,1.45479863848104,0.734530436470716
1.30477570923587,2.91565404234644,0.742694397029947,3.64314673975176,0.721129917167851,0.609127176598835,0.623021136435399,1.85068871139701,0.693230473228159,1.13337245799995,0.852667147335982,2.4275697115365,0.871699261442755,2.81732826389152,3.71584073705476,2.84380603803668,1.40037995273654,1.07425579014549,1.54397950854497,1.77431234662135,2.12349259711179,1.21447308681958,3.52518089909715,1.02173546612796,1.03483831966915,1.10239531297322,1.36499929832359,1.13194828168168,0.775186073567657,1.13265185041155,1.20808966224618,1.39445536864615,2.68548841807624,1.2946544676746,1.46471663692905,2.73274050153509,2.7230036217243,2.77036914406635,1.92957376215044,1.57559931468538,0.895673668301505,1.27215579684328,2.77459931483419,0.715887005725631,3.4461292170785,0.516359469004062,0.869613285436519,0.699206471657837,1.93837191937129,0.512005071176878,1.95043690461535,1.02380066916744,1.38894794901784,0.763675800852005,2.44546411908607,2.59791190960507,2.88949540421538,1.44707160752759,1.70683620813207,1.10706519343913,1.20803804764312,1.55736340120605,0.975058229988071,3.97119566915598,1.07058409668766,1.39636334282434,1.10793847114068,1.16348170654671,1.81110133983201,0.853537427607414,1.22520460405823,1.21528350651625,1.44390716321669,3.73940871506811,0.903929233163487,1.20736524479784,1.68402498065189,2.40540890005678,2.25294180001216,2.17001243877084,1.46340770649859,0.735022690515149
1.33029443091047,2.94360054466027,0.744519098101416,3.64688814223285,0.721990653200021,0.610690402869176,0.623586158643632,1.85292248423202,0.708442550491545,1.13387513974275,0.869222432805962,2.43246867234528,0.872046810749933,2.82360143494274,3.8005440257328,2.84638284275824,1.40090006908241,1.07479383379135,1.57184933552043,1.81325823287762,2.12753834341274,1.21513572976729,3.53250201869849,1.02212781912759,1.03542933254331,1.10288566093953,1.36592275513925,1.13262069133358,0.787824647296401,1.13321045122098,1.20875730351388,1.39520231872651,2.6893262023259,1.31750506668443,1.46536704199601,2.73802310940853,2.77242390696423,2.83719942531973,1.93164058030072,1.59191683036082,0.914335963005638,1.27278246904989,2.80616349445878,0.732735841000685,3.44857628053591,0.516742099225634,0.892331680832676,0.70017968984093,1.96756465551889,0.52616219094928,2.00996317768492,1.03946418211433,1.39001422223453,0.76415069454866,2.48191452611118,2.60080810261268,2.95971683952659,1.44776532592906,1.74891385910985,1.10748663203386,1.20863550262368,1.57704047404831,0.975433423892999,4.1206484331407,1.08896486039573,1.39745167557593,1.12803391442788,1.1640375392681,1.83787364500945,0.868007564567165,1.22635862914751,1.21589361859185,1.44816265419036,3.83308339381992,0.905299077675237,1.20789326332348,1.68482617773148,2.40879981334273,2.31522109124919,2.19509862213033,1.47231863302613,0.735532207738105
1.35956093860287,2.97098531873292,0.746308888825539,3.65055796386039,0.722834921551908,0.612223721351917,0.624140370795437,1.85511352032139,0.726347796413431,1.13436820413259,0.888958128521227,2.437273905789,0.872387710712062,2.82975458711318,3.88845762636076,2.84891034781682,1.4014102345149,1.0753215835371,1.60538952436183,1.85870598829077,2.13150668612641,1.21578569496968,3.5396830699718,1.02251266559385,1.03600903810524,1.10336662752381,1.36682854429487,1.13328023638268,0.803105653584795,1.13375836482877,1.20941217140795,1.39593497808979,2.69309056173723,1.34491702649186,1.4660050034539,2.74320464994626,2.82069867106786,2.90828959649624,1.93366785589763,1.60956350480751,0.93563321313559,1.27339715170668,2.83696420743945,0.752109942528187,3.45097652655204,0.517117408930904,0.918797722212057,0.701134288324969,1.99640208304262,0.543375851679057,2.07757772444905,1.05806573535971,1.39106009541477,0.764616502535793,2.52473626930935,2.60364888539149,3.02688286148103,1.44844577204679,1.79469665181045,1.10790000762697,1.20922152704106,1.59679141468554,0.975801439553912,4.25143096213188,1.11088195458465,1.39851918624603,1.15185793263252,1.16458273774717,1.86916422513479,0.884375352495071,1.22749057532351,1.21649205794756,1.45233672872255,3.92250049232571,0.906642714196833,1.20841117975052,1.68561204623547,2.41212585136639,2.3840803484182,2.21983964849715,1.4810590748945,0.736031976831075
1.39567989726238,2.998556065619,0.748003945092581,3.65403354011902,0.723634502386495,0.613675880572832,0.624665248239781,1.85718858384951,0.748659719550275,1.13483517039451,0.913056171971395,2.44182479598727,0.872710566680335,2.83558205007183,3.97903152127266,2.85130407085481,1.40189339665331,1.07582139924288,1.64707398553404,1.91062651893274,2.13526498261097,1.21640125721102,3.54648402485479,1.0228771419573,1.03655805958163,1.10382213632266,1.36768638960838,1.13390487140498,0.822117718190709,1.13427727711396,1.21003237683921,1.39662885745155,2.6966556718507,1.37876785070798,1.46660919731453,2.74811192912869,2.8624546094281,2.98059011835493,1.93558782685246,1.62900225351732,0.961866082179731,1.273979298924,2.86606273908664,0.776427561872597,3.453249726428,0.517472853318578,0.950870904221102,0.702038359466399,2.02382416585944,0.564783890822114,2.15126792748157,1.0814277885096,1.3920506100402,0.765057655089097,2.57763992863613,2.60633930421399,3.0896001386329,1.44909020183442,1.84244784787318,1.10829150305729,1.20977653291294,1.61582388667184,0.976149975974396,4.36793468966175,1.13771187323167,1.3995301930789,1.18074448588453,1.16509907861667,1.90715953969847,0.904139721910757,1.22856260706092,1.2170588216293,1.45628986754461,3.99019549755563,0.907915231411198,1.20890168261972,1.68635631835332,2.4152758406475,2.45549671019198,2.24338036853761,1.48933688110168,0.736505292913057
1.45085491463904,3.02073467711135,0.749233331475703,3.65655429781241,0.724214420474974,0.614729099163287,0.625045930105882,1.85869358099632,0.788050093792674,1.13517385057577,0.946580457212851,2.44512545482063,0.872944726890129,2.8398085785646,4.05501827812316,2.85304018461404,1.40224382334141,1.07618390439076,1.69396611734943,1.95872125865092,2.13799079095828,1.21684771073128,3.55141660525814,1.02314148850845,1.03695625257395,1.10415250666233,1.36830856561974,1.13435790521027,0.849744510521274,1.13465363258361,1.21048219796123,1.39713211262689,2.69924136644565,1.41550694018961,1.46704740560264,2.75167106891795,2.88919522224366,3.04172653703949,1.93698033882611,1.64424933220708,1.00214216623222,1.27440151727502,2.89223258915659,0.813384766785373,3.45489842743455,0.517730649179788,1.00000442467206,0.70269406203643,2.04819387532509,0.599383200029687,2.2145012160473,1.11844448602918,1.39276900813498,0.765377613165095,2.64841953373564,2.60829060478707,3.13961679208745,1.44955759234009,1.88456864179407,1.10857544593308,1.2101790662534,1.63348406995451,0.976402761641572,4.45683515702731,1.17659967815939,1.40026345371321,1.21994134038038,1.16547356909605,1.96212020167137,0.938119580173854,1.22934012769305,1.21746988264617,1.45915699067965,4.02587995424799,0.908838159673845,1.20925743337561,1.6868961222671,2.41756045739118,2.51534379078974,2.26549943154943,1.50137040400874,0.736848578476738
1.52942325500341,3.03326481955695,0.749796247426677,3.65770851160038,0.72447995549858,0.61521135075853,0.625220238116461,1.85938269461572,0.851121296031877,1.13532892670068,0.991238836484139,2.44663677260609,0.873051945026743,2.84174383694919,4.10505183441679,2.85383512275651,1.402404278,1.07634988957886,1.74065012821673,1.99528383776645,2.13923889409254,1.21705213450836,3.55367515328391,1.02326252847788,1.03713857864329,1.10430377784646,1.36859344985623,1.13456534199241,0.888312872048143,1.13482595960789,1.21068816370816,1.39736254495434,2.70042531378053,1.45027945950838,1.46724805402255,2.75330074091256,2.89934456995489,3.08462076121369,1.93761794732141,1.6512307205794,1.06016838821715,1.27459484416382,2.91525439708394,0.865663371766222,3.45565334070487,0.517848689695254,1.07066656909755,0.702994297536703,2.06900933805944,0.651997261517899,2.25639891497252,1.17305983632833,1.39309795089232,0.765524116743705,2.73821689958277,2.60918407345795,3.17284485591007,1.44977160282091,1.9164764444689,1.10870545873959,1.21036337969729,1.64978452731736,0.976518508070998,4.51110851295748,1.23034927905919,1.40059920178473,1.27087211401303,1.16564504217174,2.0378085991551,0.991068028870749,1.22969614169487,1.21765810077384,1.46046979954778,4.03658953499751,0.90926075345541,1.20942032583791,1.6871432896651,2.41860654609408,2.55574783670522,2.2865148750655,1.51997722371354,0.737005763331059
1.60799159536778,3.04579496200254,0.75035916337765,3.65886272538835,0.724745490522186,0.615693602353772,0.625394546127039,1.86007180823512,0.914192498271081,1.1354840028256,1.03589721575543,2.44814809039155,0.873159163163356,2.84367909533377,4.15508539071042,2.85463006089897,1.40256473265859,1.07651587476696,1.78733413908403,2.03184641688199,2.14048699722681,1.21725655828544,3.55593370130967,1.02338356844731,1.03732090471264,1.10445504903058,1.36887833409272,1.13477277877456,0.926881233575013,1.13499828663217,1.2108941294551,1.3975929772818,2.70160926111542,1.48505197882716,1.46744870244245,2.75493041290716,2.90949391766613,3.12751498538788,1.93825555581672,1.65821210895173,1.11819461020207,1.27478817105261,2.93827620501128,0.917941976747071,3.45640825397519,0.51796673021072,1.14132871352303,0.703294533036975,2.08982480079379,0.704611323006112,2.29829661389775,1.22767518662748,1.39342689364966,0.765670620322315,2.8280142654299,2.61007754212883,3.20607291973269,1.44998561330174,1.94838424714374,1.10883547154609,1.21054769314118,1.66608498468022,0.976634254500423,4.56538186888764,1.28409887995899,1.40093494985624,1.32180288764567,1.16581651524744,2.11349699663883,1.04401647756764,1.23005215569669,1.21784631890152,1.4617826084159,4.04729911574702,0.909683347236975,1.20958321830021,1.68739045706311,2.41965263479698,2.5961518826207,2.30753031858157,1.53858404341834,0.737162948185379
