FLDNAME,BIOMARKER,HM,HS,LM,LS,REQUIRE_NORMALIZE
CTX_RH_POSTERIORCINGULATE_SUVR,Right-posteriorcingulate,Abeta-posteriorcingulate,Abeta-Right-posteriorcingulate,Abeta-Cingulate,Abeta-Right-Cingulate,1
CTX_RH_PRECENTRAL_SUVR,Right-precentral,Abeta-precentral,Abeta-Right-precentral,Abeta-Frontal,Abeta-Right-Frontal,1
CTX_RH_PRECUNEUS_SUVR,Right-precuneus,Abeta-precuneus,Abeta-Right-precuneus,Abeta-Parietal,Abeta-Right-Parietal,1
RIGHT_PUTAMEN_SUVR,Right-Putamen,Abeta-Putamen,Abeta-Right-Putamen,Abeta-Putamen,Abeta-Right-Putamen,1
CTX_RH_ROSTRALANTERIORCINGULATE_SUVR,Right-rostralanteriorcingulate,Abeta-rostralanteriorcingulate,Abeta-Right-rostralanteriorcingulate,Abeta-Cingulate,Abeta-Right-Cingulate,1
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR,Right-rostralmiddlefrontal,Abeta-rostralmiddlefrontal,Abeta-Right-rostralmiddlefrontal,Abeta-Frontal,Abeta-Right-Frontal,1
CTX_RH_SUPERIORFRONTAL_SUVR,Right-superiorfrontal,Abeta-superiorfrontal,Abeta-Right-superiorfrontal,Abeta-Frontal,Abeta-Right-Frontal,1
CTX_RH_SUPERIORPARIETAL_SUVR,Right-superiorparietal,Abeta-superiorparietal,Abeta-Right-superiorparietal,Abeta-Parietal,Abeta-Right-Parietal,1
CTX_RH_SUPERIORTEMPORAL_SUVR,Right-superiortemporal,Abeta-superiortemporal,Abeta-Right-superiortemporal,Abeta-Temporal,Abeta-Right-Temporal,1
CTX_RH_SUPRAMARGINAL_SUVR,Right-supramarginal,Abeta-supramarginal,Abeta-Right-supramarginal,Abeta-Parietal,Abeta-Right-Parietal,1
CTX_RH_TEMPORALPOLE_SUVR,Right-temporalpole,Abeta-temporalpole,Abeta-Right-temporalpole,Abeta-Temporal,Abeta-Right-Temporal,1
RIGHT_THALAMUS_PROPER_SUVR,Right-Thalamus-Proper,Abeta-Thalamus-Proper,Abeta-Right-Thalamus-Proper,Abeta-Thalamus,Abeta-Right-Thalamus,1
CTX_RH_TRANSVERSETEMPORAL_SUVR,Right-transversetemporal,Abeta-transversetemporal,Abeta-Right-transversetemporal,Abeta-Temporal,Abeta-Right-Temporal,1
