Left-Accumbens-area,Left-Amygdala,Left-bankssts,Left-caudalanteriorcingulate,Left-caudalmiddlefrontal,Left-Caudate,Left-cuneus,Left-entorhinal,Left-frontalpole,Left-fusiform,Left-Hippocampus,Left-inferiorparietal,Left-inferiortemporal,Left-insula,Left-isthmuscingulate,Left-lateraloccipital,Left-lateralorbitofrontal,Left-lingual,Left-medialorbitofrontal,Left-middletemporal,Left-Pallidum,Left-paracentral,Left-parahippocampal,Left-parsopercularis,Left-parsorbitalis,Left-parstriangularis,Left-pericalcarine,Left-postcentral,Left-posteriorcingulate,Left-precentral,Left-precuneus,Left-Putamen,Left-rostralanteriorcingulate,Left-rostralmiddlefrontal,Left-superiorfrontal,Left-superiorparietal,Left-superiortemporal,Left-supramarginal,Left-temporalpole,Left-Thalamus-Proper,Left-transversetemporal,Right-Accumbens-area,Right-Amygdala,Right-bankssts,Right-caudalanteriorcingulate,Right-caudalmiddlefrontal,Right-Caudate,Right-cuneus,Right-entorhinal,Right-frontalpole,Right-fusiform,Right-Hippocampus,Right-inferiorparietal,Right-inferiortemporal,Right-insula,Right-isthmuscingulate,Right-lateraloccipital,Right-lateralorbitofrontal,Right-lingual,Right-medialorbitofrontal,Right-middletemporal,Right-Pallidum,Right-paracentral,Right-parahippocampal,Right-parsopercularis,Right-parsorbitalis,Right-parstriangularis,Right-pericalcarine,Right-postcentral,Right-posteriorcingulate,Right-precentral,Right-precuneus,Right-Putamen,Right-rostralanteriorcingulate,Right-rostralmiddlefrontal,Right-superiorfrontal,Right-superiorparietal,Right-superiortemporal,Right-supramarginal,Right-temporalpole,Right-Thalamus-Proper,Right-transversetemporal
1.14529725052122,1.22748609860482,0.0191831543401468,0.439487088043781,0.418521264734385,0.00981262733158958,0.0158862868980945,0.969345514728958,0.0173552792973217,1.33758376256795,1.06178568793607,0.278007918514998,0.286928177384801,0.433835061950086,0.866117304992279,0.0207151732142575,0.721896945804376,0.692501497971783,0.0203240120030585,0.0257132863389761,0.0320597896108138,0.0185760378281871,0.803343610991339,0.051969205417574,0.793661191111726,0.0234605364234696,0.486440985928175,1.09278771012921,0.681003381790031,0.818737702663588,1.37944364104656,0.619028983661303,0.462202861995498,0.538778407215285,0.906439330892386,1.2174935716079,0.542551541735077,1.08371662318531,0.374817433388043,0.5680449925933,0.719451167683088,1.39207830614944,1.06809279770683,0.401371716056816,0.161949814653862,1.22227746138375,0.0194031314110361,0.618113402619877,1.1254021238553,0.315183466585263,1.1568518817529,1.52349836793243,0.389349949359538,0.0231489663449294,0.0114632981899519,1.03888818541022,0.526970310393757,0.458974288534697,0.838935594157531,0.0164882672717237,0.420507262429178,0.0132235130799517,0.014508814845816,0.792124492650684,0.450903807284708,0.580383051747518,0.015417971325517,0.0173324085418667,0.882638541843485,0.692212975943345,0.637874403673857,1.21464099086888,0.784316413816847,0.104838404535906,0.827032819682165,0.523426618591032,0.897138423699843,0.483476596562896,0.932245242960073,0.627468542997645,0.992342053247215,0.0226685996095832
1.14683883918316,1.23184180629336,0.019344122053863,0.440376450247894,0.421874751102089,0.00989496604185107,0.0160195902764692,0.971843564553353,0.0175009091337845,1.35145371653283,1.06536621769735,0.286298910494718,0.28954210109478,0.435280537570849,0.869052090086738,0.0208889962473421,0.725118693157305,0.692684305863191,0.0204945527643777,0.0259290490253792,0.0352330831576563,0.0187319111682066,0.810867863659172,0.0531958623542149,0.793832368840756,0.0236573960662416,0.487953236624146,1.09290410814772,0.692719472193732,0.820823719031341,1.38816853287228,0.619121361162375,0.464744988219592,0.898295865906113,0.906594785051467,1.21768134612821,0.548119245914589,1.08574518012824,0.39157355901516,0.572538941043188,0.719550181990589,1.39463948533641,1.07293511612995,0.406277830140877,0.16901682350458,1.22961890919666,0.0195659449737478,0.618266240539293,1.13221363902662,0.31671741931193,1.15901386515572,1.52700471566012,0.392428152606634,0.0233432115728708,0.011559487839921,1.03901943716404,0.529725253749996,0.464071207087057,0.839040704886655,0.0166266219259588,0.423775588073886,0.0133344728642516,0.0146305597222347,0.802185209641203,0.451813493897364,0.589057972758932,0.0155473450223764,0.0174778464675961,0.882798328970973,0.694988197859131,0.640294182876789,1.21477163884603,0.786187462002377,0.108599437976509,0.827161305273311,0.526818647294879,0.899322441406677,0.496165087857271,0.932347131090452,0.630961732749677,0.995322559925619,0.0228588140335304
1.1495051452557,1.23937536576154,0.0196225291303821,0.441058486411433,0.42768629438095,0.0100373777036622,0.0162501495793669,0.976164149921394,0.0177527880732782,1.37535986929184,1.07155904233412,0.30061023358111,0.294063100005298,0.437735716624532,0.873893847545665,0.0211896376701189,0.730695809412238,0.693000487347271,0.0207895172245797,0.0263022285739768,0.0407215588209888,0.0190015071008334,0.823807183127014,0.0553232424111111,0.794128434989703,0.0239978812254294,0.490568800239418,1.09310542822179,0.713538570970376,0.824431658195721,1.40323036005363,0.619281135749562,0.469141807394402,1.14851590293526,0.906863655975723,1.21800611781091,0.557749054326196,1.08925373842851,0.421914976310054,0.580279435754351,0.719721435487633,1.39906925819846,1.0813771625025,0.414938616191311,0.181259062139342,1.24224845429757,0.0198475445999448,0.618530586459003,1.14397667732914,0.319370518398017,1.16275319563862,1.53306923628719,0.397752161671375,0.023679174883714,0.0117258558563453,1.03924644801129,0.534490157891821,0.472888979094342,0.839222502652994,0.0168659178314492,0.429428429670805,0.0135263870589989,0.014841127632671,0.819864132449398,0.453386872710613,0.603930066787835,0.0157711076135792,0.0177293934814821,0.883074694125217,0.699797403288547,0.644479392681644,1.21499760541121,0.789423595779357,0.115115155630956,0.827383531811664,0.53267354523583,0.903054929350859,0.518171712065032,0.932523355103679,0.636983515686651,1.00023802186505,0.153370572133478
1.15453206739625,1.25341789692039,0.020147424119542,0.441470411263168,0.438654737641131,0.0103058736363705,0.0166848347328776,0.984215917150524,0.0182276682195307,1.40693853331554,1.083260432323,0.327530981316226,0.302590928275526,0.442318767453056,0.882783201914097,0.0217564522005627,0.741221672251694,0.69359660034387,0.021345628689403,0.0270058029139859,0.0510715378890961,0.0195097899932904,0.847925236821042,0.0593401497675909,0.794686623524222,0.0246398151740038,0.495454078228301,1.09348498717344,0.753942964774064,0.831233888987603,1.43157396932395,0.619582366886566,0.477373857501016,1.21885533281859,0.90737057197311,1.21861842634487,0.576060927936791,1.09586860143419,0.483025129258265,0.594291426330343,0.720044308395887,1.40742093376461,1.09736162094849,0.431446124295376,0.204387805304471,1.26591574458109,0.0203784586650184,0.619028971235696,1.16612527514849,0.324372540736827,1.16978569459566,1.54450298477019,0.407789786128569,0.0243125835621426,0.0120395179200738,1.03967444308129,0.543473673465998,0.489557662180579,0.83956525520722,0.0173170745451677,0.440184260494271,0.0138882126290633,0.0152381219995087,0.853765940223257,0.456353243628516,0.631683579374455,0.0161929785816315,0.0182036478315426,0.883595739374693,0.708873861599004,0.652351773721265,1.21542363164323,0.795524843007068,0.127410487544834,0.827802506781331,0.54369993617858,0.910046092977954,0.559772835307941,0.932855599178322,0.648195376820128,1.00922182378458,0.481275127433676
1.16443104669158,1.2806549629562,0.0211933476698648,0.442291226687759,0.46095949001877,0.0108408877343998,0.0175510031064035,0.999926542689022,0.0191739304982796,1.41446429282047,1.10673185652222,0.380909114425074,0.320181970771051,0.451451109907979,0.900104098185404,0.022885906049999,0.762212797649361,0.694784435310241,0.0224537552474297,0.0284077689963754,0.0717064370401139,0.020522611716542,0.895064194268855,0.067344806293864,0.795798888921742,0.0259189545226958,0.505036059577839,1.09424130920824,0.838290468445987,0.844776809501338,1.48783491245125,0.62018261026246,0.493534564924192,1.2801839506176,0.908380669974903,1.21983853308805,0.613179735862076,1.10901194905673,0.628005938980389,0.620208527017893,0.720687675898871,1.42371824195076,1.12952517386483,0.465007758438774,0.250798939446451,1.30793016753631,0.0214363760300651,0.62002206963791,1.21017795481145,0.334264390266164,1.18354425818977,1.56734835539604,0.428162284397569,0.0255747351685195,0.0126645315819902,1.04052728056761,0.561244136180331,0.522999475316994,0.840248235566725,0.0182160647079806,0.461928329772713,0.0146091985265379,0.0160291864337219,0.923163919989612,0.462264134885057,0.685883894786307,0.0170336129747882,0.0191486631275837,0.884633991803209,0.727043608629304,0.667970295398717,1.21627254595624,0.807544341445546,0.151963680445178,0.828637370509926,0.565680202489653,0.92397692263484,0.642883272421118,0.933517639985153,0.670201190820471,1.02678002052387,0.667638328608211
1.17611894703328,1.31250579546756,0.0224423764647086,0.443271434180218,0.488265614540829,0.0114797948647343,0.0185853705220554,1.01860432544018,0.0203039450517018,1.41601021456206,1.13489096029254,0.444095274180238,0.341461652679174,0.462351032236261,0.919780680431687,0.0242346856811275,0.787508589326913,0.696202932939501,0.0237770660944599,0.0300819793205987,0.096397661475942,0.0217321107243749,0.950207541154579,0.0769442114161559,0.797127142319021,0.027446486700971,0.516468326060585,1.09514449950294,0.943163208973639,0.860897063660632,1.5548222122736,0.620899413378877,0.512727256927552,1.32910850073315,0.909586916348709,1.22129556926869,0.658590994225758,1.12449507195889,0.860334360014089,0.648828765887782,0.721455977307368,1.44282356046505,1.16926096431776,0.506625852080428,0.306866264755,1.314619135779,0.022699727688129,0.62120801530296,1.2627080405189,0.345851135180963,1.19989031678562,1.59468380996424,0.452998172132316,0.0270819807978358,0.0134109150635204,1.04154572840485,0.582142044534647,0.563364527507087,0.841063842151997,0.0192896274930311,0.488281823827776,0.0154701908489155,0.0169738656663523,1.00785023864782,0.469252677097409,0.749273813623952,0.01803748803111,0.0202771885498851,0.885873859840536,0.749017294867169,0.686598704894641,1.21728630878908,0.821758228694202,0.181437033115925,0.829634354310953,0.592003734771117,0.940573261562416,0.741769611324125,0.934308240819064,0.69629302900795,1.04665191680843,0.723461382206854
1.18572574733786,1.33825833274829,0.0234690829270636,0.444077168500444,0.511378008460596,0.0120049789775963,0.0194356245069783,1.03367418393387,0.021232821350906,1.41728096816593,1.15848829957845,0.495588131929504,0.359717245230018,0.471224821105731,0.935080916553134,0.124038139686115,0.80847422667099,0.697368943434062,0.0248648326887604,0.0314581866316854,0.116764702257003,0.0227263235501163,0.994769235203928,0.08486681720166,0.798218971708592,0.028702124013229,0.525808704172917,1.09588692539107,1.02500161512573,0.87267887361107,1.60666491156651,0.621488628291216,0.528328012698696,1.36091092118935,0.910578455496798,1.22249325860038,0.697005532683928,1.13720769102571,1.05298529709566,0.670789410737675,0.722087524013414,1.45833595695654,1.20334362441968,0.542350825725622,0.353623406617278,1.31581919339133,0.0237382075990134,0.622182867190551,1.28957182077703,0.355370369962094,1.21330765892995,1.61741413625718,0.474068981004126,0.0283209424890024,0.0140244451494926,1.04238289643522,0.59916209119324,0.596980369240046,0.84173427389488,0.0201721002220071,0.510343345303553,0.0161779298418615,0.0177503956206643,1.06850502749037,0.474961691106257,0.800593632574461,0.018862677179653,0.0212048407775935,0.886893036125059,0.76743817060069,0.701886481844648,1.21811962572786,0.833438619159447,0.205905696487868,0.830453878821201,0.613740098794877,0.954122920715433,0.822097573761269,0.934958117738372,0.717433067908648,1.06232016491058,0.757561603401828
1.19033015000185,1.35043563111714,0.023961928384075,0.444463941656981,0.522781176979994,0.0122570808330038,0.0198437682453686,1.04090810284716,0.0216787058183498,1.41789096251544,1.16981562816849,0.520161412020542,0.368600140445743,0.475478311032486,0.942350526498301,0.466709341687095,0.818672332860775,0.697928658402402,0.025386988576491,0.0321188014676134,0.126566687934599,0.0232035712274565,1.0159927302493,0.0886749132020054,0.798743077842342,0.0293048621547431,0.530275317700676,1.0962433088751,1.04102041581161,0.873664323461194,1.61761124314007,0.621771466574013,0.535814394955918,1.37447430374917,0.911054419740233,1.22306818022373,0.715920907402088,1.14330898085177,1.12741793615342,0.680918358700213,0.722390682643829,1.46563847773698,1.22004514939874,0.559985063132224,0.376311906630807,1.31639525185017,0.0242367046135378,0.622650821120592,1.29034913578726,0.359914347154339,1.21970574999209,1.62833532708234,0.484363079481735,0.0289156759043371,0.0143189553397933,1.04278475857952,0.607289098332542,0.613305361105833,0.842056098341137,0.0205957097845832,0.521099568583657,0.0165176627258089,0.0181231499318995,1.06908366660099,0.477702164378258,0.825078717635205,0.0192587891531781,0.0216501376592981,0.887382266903414,0.776331064421591,0.707986030219932,1.21851963924934,0.839031544186551,0.217700497713985,0.830847271622935,0.624255889633058,0.960627104922377,0.860250812022173,0.93527007534168,0.727577225370717,1.06972714834309,0.771776179791695
1.19841484289554,1.37177165179601,0.0248295270939529,0.445144812073565,0.543282302355692,0.0127008776488164,0.0205622591553172,1.05361026864041,0.0224636350151303,1.41896478860665,1.1901855400899,0.563250100174064,0.384298531657873,0.482966099182769,0.954707321881198,0.749711400040062,0.836646795054386,0.698913973327239,0.0263061849860457,0.0332817392024013,0.143903223548266,0.0240437118095843,1.05318470252632,0.0954358229101598,0.799665707439536,0.0303659145120943,0.538138285856468,1.09687068170885,1.04199578474946,0.874699593001421,1.61908788793582,0.622269371395429,0.548943280223851,1.39721505805678,0.911892300982065,1.22408026474555,0.749771639455401,1.1540428328163,1.23621911535796,0.698413291912646,0.722924359139968,1.47849374000598,1.25056719347469,0.59206575316719,0.416662904559313,1.31740933764238,0.0251142522514971,0.623474601111278,1.2917175109857,0.367872377843883,1.23096886598968,1.64777718551248,0.502536382082791,0.0299626368462003,0.0148374072348361,1.04349219145322,0.621591285537758,0.642283886535287,0.842622633895859,0.0213414265295677,0.540471782808365,0.0171157240604982,0.0187793417561889,1.07010229533889,0.482527321608413,0.868051147572199,0.0199560995012974,0.0224340324778123,0.888243502380166,0.792326473870045,0.710791770223533,1.21922381783155,0.848863496421997,0.238691514018929,0.831539795176525,0.642777774201407,0.972079466386507,0.926723539444078,0.935819241434857,0.745305687973932,1.08253333509174,0.794937390400484
1.21299486840658,1.40990970012199,0.0263941643027751,0.446372701391569,0.582129886619439,0.0135012257858889,0.021857993691465,1.07637222623011,0.0764521775684386,1.42090133857956,1.2275877021178,0.640418696934439,0.414560953405022,0.496517784326524,0.976390228926657,0.86437272821872,0.869971185775948,0.700690901273599,0.02796387406307,0.035378994109164,0.175438028422059,0.0255588307239769,1.11981766434955,0.107683891972417,0.801329587965514,0.0322794281906173,0.552357236571544,1.09800209288813,1.04375477599175,0.876566609659418,1.62175088566201,0.623167298514464,0.572579116330499,1.43380813933577,0.913403345376921,1.22590546928227,0.813304649446349,1.17339783421232,1.38838854819804,0.728452930656656,0.723886797296949,1.50138113953754,1.3097345059216,0.653697495869835,0.490826799406008,1.31923815129245,0.0266968314684009,0.624960215152234,1.29418525411019,0.382227867090517,1.25129788646121,1.68331329751406,0.537271519075535,0.0318507379085604,0.0157723891760638,1.04476798380321,0.64722719908793,0.695571192365304,0.843644330446287,0.0226862604408683,0.576369244133127,0.0181942745548211,0.0199627254250658,1.07193930178802,0.491249103700183,0.924491476678119,0.021213636775549,0.023847717153557,0.889796664063259,0.821974147259174,0.712672469929929,1.22049374135591,0.866604529654338,0.277122748939239,0.832788699892029,0.676763785566761,0.992857933863938,1.04461186193329,0.936809613704232,0.777142488949917,1.10504104610537,0.831489202143648
